%eval_id	interface	vel____	theta__	A______	B______	n______	c______	s______	d______	pc_____	uc_____	k1_____	k2_____	k3_____	pl_____	ul_____	obj_fn
65	NO_ID	489.4224116	3.840824924	0.311483361	0.969386944	0.727843107	0.01141564	6.296258807	0.01945564	16299485.04	0.003342054	1131366065	5236649839	9283617519	167008319.2	0.350445317	437.5442
66	NO_ID	511.5215254	3.259673181	0.32077024	1.129246469	0.710983323	0.011732446	6.635190271	0.022839344	13065517.92	0.001898784	1218061571	4936690725	8546218896	155899496	0.377349556	456.9406
67	NO_ID	421.0962928	3.127305143	0.286903993	1.011353315	0.699033113	0.010727482	7.43629325	0.022406242	21479317.56	0.00272637	1095559795	4765370096	7679230409	153098732.2	0.360106083	370.2165
68	NO_ID	624.7268494	0.542560079	0.286727364	1.023104132	0.746148853	0.00971401	7.715582599	0.01985808	21215882.41	0.004434158	1164770384	5241848144	8802953442	145487610.1	0.341713974	562.8999
69	NO_ID	679.4497421	3.98463838	0.294026877	1.089069627	0.688312058	0.010997611	6.455257202	0.021205727	10648176.18	0.005213182	1071113502	5207525686	8677747607	170318306.4	0.344843851	619.5497
70	NO_ID	657.2001302	3.645412336	0.328313402	1.035470637	0.712930498	0.011298749	6.496148604	0.020541617	20175182	0.001863173	1096907902	5183443062	8838978811	144125695.8	0.332039548	595.6755
71	NO_ID	592.0271915	5.311429812	0.31576722	1.161832653	0.748833457	0.010837417	7.922835852	0.021866316	7761722.91	0.00331407	1253874278	5354502306	8939210316	160831820.7	0.363185541	534.9845
72	NO_ID	600.8908126	4.202296557	0.31214929	1.082827477	0.636403391	0.011638565	5.028773983	0.019374196	18618333.03	0.002136974	1166245658	5082902385	7927631270	142963571.7	0.375118439	543.964
73	NO_ID	381.047686	0.395223657	0.282839905	1.008961693	0.714684321	0.011379529	7.622963671	0.021265065	7903171.768	0.00588729	1041121121	4730345343	8263912058	148858866.6	0.385417297	331.367
75	NO_ID	313.7107946	0.708982494	0.322808403	1.008766985	0.672708891	0.011436786	6.275063215	0.019616195	12211090.71	0.002724999	1232008066	5325500939	9243349121	171157383.9	0.335776116	259.8585
76	NO_ID	735.3429211	4.404668036	0.319741559	1.023057137	0.752409016	0.011196581	6.02479791	0.023342535	9034983.603	0.001551106	1241948865	5487207270	9050429154	170719430.8	0.384613646	673.2188
77	NO_ID	655.6761114	5.624249451	0.292528779	1.095013686	0.753826806	0.009831687	7.511804694	0.021094571	21113824.79	0.003882962	1065497766	4594695633	9179942126	158222020.3	0.344255705	592.5438
78	NO_ID	717.4013783	5.150081499	0.277127758	1.07431058	0.665718991	0.010969657	7.409943481	0.019910021	10782455.57	0.005530801	1206076290	4938355639	7877254801	167546356.9	0.33615923	655.2182
